"recode" "count" "has_bachelor_degree" "personal_income" "gdp_per_capita_ppp"
"AFGHANISTAN" 97 0.137790300848945 15993.7686879166 1900
"ALBANIA" 64 0.464029210380245 39001.6922117242 12500
"AMERICAN SAMOA" 61 0.189209272274894 54641.7652880286 13000
"ANTIGUA AND BARBUDA" 52 0.220403957927799 17367.4454450382 26300
"ARGENTINA" 307 0.385299998300622 40062.179221762 20700
"ARMENIA" 180 0.329051326730311 31007.7633533207 9100
"AUSTRALIA" 126 0.318945712542836 40477.8906380804 49900
"AUSTRIA" 488 0.370470669746886 44818.5533033363 49200
"BAHAMAS, THE" 73 0.278498427227867 24862.2431764763 25100
"BANGLADESH" 149 0.181354915897997 10442.242938998 4200
"BARBADOS" 158 0.335642199510128 30244.5091913701 17500
"BELGIUM" 140 0.395131344004587 39671.4963549641 46300
"BOLIVIA" 92 0.347862904018892 33518.4263435655 7500
"BRAZIL" 178 0.236231998991384 22225.672695194 15500
"BULGARIA" 37 0.374174702291162 26725.8258925902 21600
"BURMA" 58 0.310369349567089 38392.4470101685 6300
"Belize" 81 0.247035350490764 39156.6742264472 8300
"CAMBODIA" 396 0.202094419188187 21990.0981691297 4000
"CANADA" 4459 0.354323604503704 42334.7384710785 48100
"CAPE VERDE" 139 0.19954755474076 31008.786223526 2997.75
"CHILE" 155 0.299879811185554 26883.9004053645 24600
"CHINA" 2450 0.506990538109484 43804.3579010832 16600
"COLOMBIA" 967 0.300786249734722 29383.352264715 14500
"COSTA RICA" 168 0.219754320459731 27638.2028210325 17200
"CROATIA" 167 0.355600614125425 53550.3925089231 24100
"CUBA" 2186 0.342735894076078 38734.5182186823 11900
"Czechia" 427 0.273972256706848 34681.7759974184 35200
"DENMARK" 274 0.412435395425282 56059.6128693266 49600
"DOMINICA" 118 0.209910654880907 24871.2865114578 12000
"DOMINICAN REPUBLIC" 1981 0.165986373554748 20365.5236699824 17000
"ECUADOR" 580 0.209052362076735 26784.0791006911 11200
"EGYPT" 227 0.483726961675142 37341.922395425 13000
"EL SALVADOR" 2231 0.103138565786196 17386.5106432363 8900
"ERITREA" 39 0.0542532929955418 8617.8155066288 1400
"ETHIOPIA" 77 0.156280662925736 9808.81938379141 2100
"FIJI" 35 0.284145557061988 21686.0761824133 9900
"FINLAND" 136 0.337083879076763 34272.6242139477 44000
"FRANCE" 414 0.403531261294066 44209.1905340215 43600
"GERMANY" 3315 0.370673628782233 47408.3178380749 50200
"GHANA" 103 0.27141569824645 18797.3062678322 4600
"GREECE" 975 0.421492144478557 45518.8840240008 27800
"GRENADA" 58 0.400576354536284 26455.9322503976 14700
"GUAM" 92 0.355330216589163 47476.9976013567 30500
"GUATEMALA" 1117 0.0981871025931076 15514.2511097549 8200
"GUYANA" 339 0.254154178722725 24772.0275607653 8300
"HAITI" 813 0.242790491401358 21056.8404962201 1800
"HONDURAS" 415 0.116435706610659 17463.777100798 5500
"HONG KONG" 302 0.511234771514812 34226.182860604 61000
"HUNGARY" 591 0.380350863584096 55637.827707202 28900
"INDIA" 1930 0.503953961414279 39035.9015940747 7200
"INDONESIA" 127 0.42245578348288 59498.7124087533 12400
"IRAN" 481 0.392990813685494 34992.847497361 20000
"IRAQ" 136 0.326025928158181 24151.1992970429 17000
"IRELAND" 1352 0.449232116124283 52580.0112985036 72600
"ISRAEL" 241 0.432091660203801 40875.3532320312 36200
"ITALY" 5481 0.294562925353259 39817.1185579718 38000
"JAMAICA" 1000 0.235761816810664 21794.0312371339 9200
"JAPAN" 1752 0.365118779969229 36399.2505782625 42700
"JORDAN" 137 0.265563861908196 21134.6985586036 12500
"KOREA, SOUTH" 1200 0.463630879827295 36788.2690077207 39400
"LAOS" 888 0.141119109687942 17147.6646246494 7400
"LATVIA" 104 0.657225814234417 64284.0148041674 27300
"LEBANON" 329 0.336146850823687 34907.8853855265 19500
"LIBERIA" 62 0.198854057969097 28567.6912172148 900
"LITHUANIA" 238 0.368052181708132 43419.6742562321 31900
"MALAYSIA" 36 0.476884117960103 31242.5584021523 28900
"MEXICO" 34989 0.0967402721109447 20613.4140851898 19500
"MOROCCO" 55 0.290061070152851 23551.4946026323 8600
"NETHERLANDS" 561 0.347299913370337 46006.6570250182 53600
"NEW ZEALAND" 54 0.361784972315833 21976.8618761023 38500
"NICARAGUA" 463 0.142319537206748 17707.0765695691 5800
"NIGERIA" 420 0.344335625187126 22312.9288854382 5900
"NORWAY" 540 0.294053915776725 42707.6922530376 70600
"PAKISTAN" 368 0.34141140214366 25388.0636405624 5400
"PANAMA" 214 0.27987427766052 32387.1334134738 24300
"PERU" 515 0.273337871409138 22830.2849058378 13300
"PHILIPPINES" 4398 0.34985284438821 34017.0224927267 8200
"POLAND" 2042 0.343965307163681 45390.7666641167 29300
"PORTUGAL" 835 0.277356448163926 34822.9434110477 30300
"PUERTO RICO" 6381 0.145882170632203 27050.4955921595 37900
"ROMANIA" 251 0.37956166088022 46157.3461144293 24000
"RUSSIA" 242 0.33697972969882 40186.761202314 27900
"SAMOA" 200 0.22119329298161 27304.660995982 5700
"SAUDI ARABIA" 34 0.243183047769161 22422.0534280648 55300
"SERBIA" 56 0.434035164936972 40726.6417035135 15200
"SIERRA LEONE" 34 0.202681945119612 15869.7034990716 1800
"SINGAPORE" 31 0.27450427445547 27338.7017370431 90500
"SLOVAKIA" 105 0.360090066700598 40802.6323351035 32900
"SOMALIA" 38 0.0860048134335887 9901.89388494597 434
"SOUTH AFRICA" 64 0.45792947786996 46881.965182158 13400
"SPAIN" 580 0.343103638635455 44259.0384370221 38200
"SUDAN" 195 0.309283406676186 31799.7499055924 4600
"SWEDEN" 475 0.358178676491762 41067.3377033044 51300
"SWITZERLAND" 226 0.386505445927023 39068.3343368937 61400
"SYRIA" 137 0.280072458341487 25553.2484235367 2900
"TAIWAN" 579 0.584361731856005 38969.4863805661 49800
"THAILAND" 287 0.334274298451039 38862.48330656 17800
"TONGA" 149 0.055788443662778 18444.0651497087 5600
"TRINIDAD AND TOBAGO" 357 0.232455384984112 24579.2389704183 31200
"TURKEY" 196 0.424258332665369 45055.3417681879 26500
"UGANDA" 131 0.268369007903114 35005.2694999001 2400
"UKRAINE" 442 0.406644752040218 50225.2120416566 8700
"UNITED ARAB EMIRATES" 67 0.11814289219193 36520.6127146765 68200
"UNITED KINGDOM" 2371 0.359070032026959 41266.2856166163 43600
"URUGUAY" 70 0.187432626799796 25883.1016273141 22400
"VENEZUELA" 146 0.3782585364903 29249.4660601806 12400
"VIETNAM" 1752 0.282940101783653 21858.859471855 6900
"YEMEN" 59 0.0990087518048081 9475.46068436515 2300
